label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10	col_11	col_12	col_13	col_14
4	604 kg	0.1574	rat	eRIQ	0.6634	0.8592	317	1056	294 m^2	Reilly	287	ferret	523	0.9569	football
2	736 kg	0.3279	fish	Sam	0.49	0.7053	884	237	527 m^2	Lise	819	RABBIT	-41	0.2585	basketball
0	260 kg	0.473	hamster	Andrew	0.5716	0.3833	241	140	1075 m^2	Inan	1101	bird	277	-0.109	boxing, badminton
3	820 kg	0.4239	rabbit	Michael	0.0425	-0.1909	631	883	184 m^2	Eriq	-197	rabbit	625	0.9903	volleyball
3	859 kg	0.9419	rabbit	Inan	-0.039	0.8005	899	193	156 m^2	Eriq	-431	rabbit	620	0.8397	golf
0	29 kg	0.2869	rabbit	Reilly	0.2189	0.4804	351	143	769 m^2	Inan	644	bird, pig, hamster, cat	356	-0.0232	baseball, badminton
1	176 kg	0.8526	guinea pig	Chris	0.7249	-0.1399	105	500	-272 m^2	Michael	258	pig, hamster, cat, bird	723	0.3889	soccer
3	1088 kg	0.5919	bird	Inan	0.0283	0.1024	756	825	-1 m^2	Eriq	228	fish, dog, chicken	630	0.8389	volleyball, golf
2	629 kg	0.075	chicken	Fabrice, Sam	0.6562	1.162	830	284	849 m^2	Tony	1013	chicken, dog	185	0.5684	basketball
3	843 kg	0.9301	guinea pig	Michael	0.0249	0.7526	487	837	323 m^2	Eriq	422		540	1.0119	tennis
2	1021 kg	0.1523	chicken	Sam, Lise	0.5847	0.9643	None	-127	742 m^2	Tony	791	dog, chicken, reptile	148	0.2867	basketball
3	723 kg	0.8251	bird	Michael	0.2213	0.2421	502	668	132 m^2	Eriq	378	rabbit	638	0.8081	golf
4	865 kg	0.3367	dog	Chris	0.7851	0.9107	-39	1150	739 m^2	Vani	269	rat	610	1.1881	ice hockey, track & field
3	992 kg	0.6473	bird	Inan	-0.0714	0.2386	783	697	17 m^2	Eriq	243	rabbit	653	0.9858	volleyball
1	54 kg	0.7652	pig	Chris	0.992	0.1109	263	514	42 m^2	Vani	459	rat	727	0.5929	motor sports
2	673 kg	0.3155	chicken	Fabrice, Lise	0.7531	1.1721	608	239	682 m^2	Vani	1148	chicken, reptile, fish	33	0.2394	basketball
0	66 kg	0.3112	hamster	Reilly, Andrew	-0.0135	0.5565	117	338	1245 m^2	Inan	687	ferret	319	0.0074	badminton, baseball
0	166 kg	0.4782	hamster	Andrew, Reilly	0.1858	0.232	589	63	1126 m^2	Inan	816	hamster	325	-0.0421	boxing, badminton
1	86 kg	0.7	pig	n/a	0.8974	-0.1961	219	278	355 m^2	Sam	558	rat	976	0.6418	motor sports
2	409 kg	0.1817	guinea pig	Fabrice	0.4849	1.432	1261	273	632 m^2	Chris	994	fish, chicken	63	0.1529	running
2	765 kg	-0.1842	fish	Fabrice	0.5244	1.0776	497	113	994 m^2	Lise	691	reptile	-14	0.2726	running
4	534 kg	0.3445	PIG	Eriq	0.7559	1.0879	531	845	569 m^2	Vani	599	ferret	594	0.9753	ice hockey, football
0	-41 kg	0.3476	cat	Andrew	0.122	0.3851	330	46	1070 m^2	Inan	1347	guinea pig, pig, cat, hamster	305	0.0359	baseball, boxing
3	762 kg	0.5428	bird	Michael	-0.0979	0.4576	531	1004	96 m^2	Lise	-290	rabbit	632	0.9139	golf
1	195 kg	0.4938	guinea pig	Chris	0.8548	-0.3173	-32	527	511 m^2	MICHAEL	715	rat	1005	0.7403	soccer
4	?	0.3398	dog	n/a	0.7651	0.579	417	814	1035 m^2	Vani	-4		510	0.8145	football, ice hockey
3	711 kg	0.8794	rabbit	Michael	-0.212	0.2817	779	894	502 m^2	Eriq	56	ferret	609	0.9922	golf, tennis
4	462 kg	0.4254	rat	Eriq	0.341	0.8354	635	896	382 m^2	Vani	193	ferret	726	0.8677	ice hockey, track & field
4	893 kg	0.1731	dog	Eriq	0.6117	0.5468	409	747	952 m^2	Reilly	197	ferret	567	0.6836	football
0	520 kg	0.5551	pig	Vani	0.6024	0.4819	558	185	867 m^2	Inan	475	ferret	366	0.3086	BADMINTON
4	584 kg	0.1058		Tony	0.7693	0.7306	532	1233	349 m^2	Andrew	65	ferret	568	0.8633	track & field, ice hockey
4	849 kg	0.3179	None	Tony	0.8185	0.7191	635	1174	943 m^2	Andrew	247	ferret	545	0.8246	ice hockey, football
3	888 kg	0.8117	bird	Inan	N/A	0.1136	533	688	126 m^2	Eriq	-12	rabbit	651	0.8033	tennis
2	496 kg	-0.0913	chicken	Lise, Sam	0.739	0.7444	806	562	564 m^2	Fabrice	1481	reptile, chicken	-227	0.5404	basketball
0	384 kg	0.3794	cat	Reilly, Vani	0.2209	0.5502	364	105	975 m^2	Inan	458	guinea pig, bird, cat	285	-0.25	baseball, badminton
0	-12 kg	0.5603	cat	Reilly	0.546	0.6086	297	455	1184 m^2	Inan	879	cat, hamster, bird	403	-0.1443	baseball, badminton
1	234 kg	0.5182	guinea pig	Chris	1.0162	-0.0621	150	775	-647 m^2	Michael	383	rat	791	0.637	
0	414 kg	0.6292	hamster	Vani	0.6834	0.5506	137	153	1231 m^2	Inan	838	cat, pig	290	0.1711	badminton, boxing
0	602 kg	0.6991	hamster	Vani	0.1059	0.2771	235	180	1152 m^2	Inan	988	pig, cat, bird, guinea pig	230	0.0732	?
0	97 kg	0.2131	reptile	Andrew, Vani	0.3387	0.5883	469	0	642 m^2	Inan	709	bird, cat, pig, hamster	534	0.0886	football, ice hockey
1	300 kg	0.6774	guinea pig	Chris	0.7416	0.1225	92	375	173 m^2	Sam	326	hamster	875	0.6844	motor sports
4	237 kg	0.3605	rat	Tony	0.7868	0.7219	638	772	863 m^2	Reilly	201	ferret	275	0.9942	ice hockey, track & field
0	275 kg	0.1416	reptile	Vani, Reilly	0.3762	0.5003	381	-373	1124 m^2	Inan	763	guinea pig	457	-0.2258	badminton, boxing
2	542 kg	-0.0748	fish	Sam	0.7328	1.1181	756	272	370 m^2	Inan	1022	chicken, dog, reptile	36	-0.1188	running
3	780 kg	0.8852	rabbit	Michael	0.0272	0.1443	605	674	389 m^2	INAN	108	rabbit	562	0.8956	golf, tennis
1	-157 kg	0.935	PIG	Chris	0.8972	-0.2449	NULL	330	375 m^2	Michael	602	rat	975	0.5041	soccer
3	961 kg	0.8586	rabbit	Michael	0.1518	0.4651	539	802	229 m^2	Eriq	92	rabbit	602	0.5272	golf, tennis
2	478 kg	-0.143	fish	Lise	0.464	0.9737	778	213	905 m^2	Tony	958	fish	183	-0.0227	running
4	472 kg	0.1077	ferret	Eriq	0.8029	0.3475	269	722	770 m^2	Vani	65	ferret	813	1.105	ice hockey, football
3	943 kg	0.8072	rabbit	Michael	-0.0188	0.165	645	921	217 m^2	Eriq	287	ferret	672	0.7915	golf
3	942 kg	0.8178	rabbit	Inan	-0.0903	-0.0859	612	799	548 m^2	Eriq	207	rabbit	613	None	golf
0	590 kg	0.2776	fish	Vani, Reilly	0.3918	0.794	524	65	662 m^2	Inan	1120	cat, pig, hamster, guinea pig	473	0.1998	baseball
4	679 kg	0.1918	pig	Eriq	0.4722	0.8917	294	920	622 m^2	Michael	111	ferret	433	0.9092	track & field
0	538 kg	0.1823		Andrew, Reilly	0.502	0.6365	139	-71	906 m^2	Inan	888	pig, bird, cat, hamster	441	-0.0735	badminton
0	356 kg	0.3975	reptile	Reilly	0.3175	0.5797	150	364	1087 m^2	Tony	702	guinea pig, pig, cat	456	0.1863	badminton
0	332 kg	0.1826	cat	Andrew	0.251	0.5011	447	-254	773 m^2	Inan	698	cat, pig, hamster	640	-0.1483	baseball, boxing
3	979 kg	0.588	rabbit	Inan	0.0353	0.2788	691	829	222 m^2	Eriq	n/a	rabbit	713	0.739	golf, tennis
3	1054 kg	0.6658	rabbit	Michael	0.0361	0.364	478	1265	-173 m^2	Eriq	167	rabbit	724	0.8075	golf
2	718 kg	-0.2234	fish	Fabrice	0.4538	0.8492	736	160	737 m^2	Eriq	718	rat	292	0.0292	basketball
4	983 kg	0.3422	rat	Eriq	0.5219	1.0006	628	1001	707 m^2	Reilly	474	ferret	557	0.8915	track & field, football
0	235 kg	0.716	cat	Vani, Andrew	0.3063	0.6292	48	-264	963 m^2	Inan	867	guinea pig, cat, pig	420	-0.4382	boxing
4	986 kg	0.4587	ferret	Eriq	0.3568	0.7682	622	927	668 m^2	Vani	-48	ferret	793	0.9182	ice hockey
1	352 kg	0.6553	pig	Chris	0.6039	0.0696	118	501	-39 m^2	Sam	357	ferret	822	0.4418	motor sports
4	699 kg	0.3667	ferret	Tony	1.1132	0.9659	411	875	996 m^2	Vani	260	ferret	553	1.0414	football
1	200 kg	0.7078	guinea pig	Chris	0.713	-0.1493	182	621	39 m^2	Michael	336	rat	1074	0.8476	motor sports
0	226 kg	0.6912	hamster	Andrew, Vani	0.4369	0.3119	394	79	1175 m^2	Inan	894	rat	401	-0.0315	baseball, boxing
4	931 kg	0.2566	ferret	Tony	0.8671	0.6407	219	1058	686 m^2	Vani	98	Bird	765	1.0377	ice hockey, track & field
1	432 kg	0.8497	pig	Chris	0.787	0.2758	-22	645	46 m^2	Sam	357	pig, guinea pig	773	0.674	soccer
1	314 kg	0.7476	fish	Chris	0.8086	-0.277	-91	525	421 m^2	Sam	294	rabbit	762	0.5844	soccer
2	578 kg	0.072	chicken	Lise	0.0082	0.7283	997	480	808 m^2	Chris	903	reptile	72	0.5254	running
3	1201 kg	0.912	rabbit	Inan	0.2166	0.4178	884	903	495 m^2	Eriq	296	rabbit	583	0.6133	volleyball, tennis
1	96 kg	0.3843	pig	Chris	0.6625	-0.1061	-211	407	4 m^2	Sam	653	rat	820	0.7706	soccer
2	689 kg	0.0812	chicken	Sam, Fabrice	0.8978	0.9658	693	177	742 m^2	Fabrice	653	fish, reptile	18	0.2063	basketball
3	1234 kg	1.1628	rabbit	Michael	0.0335	0.4073	772	731	171 m^2	Eriq	-194	rabbit	967	0.4485	golf
1	327 kg	0.7607	pig	Chris	0.8955	-0.2372	109	313	459 m^2	SAM	288	rat	931	0.6893	motor sports
2	515 kg	-0.3816	FISH	Vani	0.6848	0.8934	1083	17	677 m^2	Sam	729	fish, dog	-122	-0.0698	running
4	535 kg	0.1188	dog	Eriq	0.7007	1.0015	365	1220	585 m^2	Vani	450	ferret	468	0.6266	ice hockey, track & field
2	397 kg	0.4132	chicken	Sam	0.4098	0.9387	915	82	650 m^2	Lise	623	fish, reptile	27	0.1277	basketball
1	85 kg	0.9061	guinea pig	Chris	0.6992	-0.2666	194	426	441 m^2	Michael	289	rat	728	0.806	soccer
1	45 kg	0.7056	guinea pig	n/a	0.9163	-0.0644	264	330	553 m^2	Michael	679	chicken, fish	895	0.3341	motor sports
3	691 kg	0.6584	bird	Michael	0.0633	0.2215	614	977	241 m^2	Eriq	153	rabbit	796	0.7575	volleyball
1	430 kg	0.3198	chicken	Chris	0.5261	-0.1492	39	596	47 m^2	Michael	128	rabbit	736	0.4609	soccer
4	554 kg	0.2201	rat	Eriq	0.7478	0.839		1181	347 m^2	Andrew	3	ferret	783	0.9161	N/A
3	849 kg	1.0468	rabbit	Inan	0.0127	0.1666	709	905	593 m^2	Eriq	-33	rabbit	506	0.6781	volleyball
2	1009 kg	0.1742	fish	Lise, Fabrice	0.4501	0.9951	715	395	383 m^2	Inan	1113	fish	-39	0.3244	basketball
0	566 kg	0.4017	hamster	Andrew	0.4755	0.5176	402	107	888 m^2	INAN	640	hamster, bird, cat	364	0.0059	baseball
1	317 kg	0.5775	Pig	Chris	0.8454	0.0268	181	318	291 m^2	Sam	455	Rat	683	0.3805	soccer
1	112 kg	0.285	pig	Chris	0.9541	-0.2703	253	428	157 m^2	Michael	202	rat	744	0.5567	soccer
3	827 kg	0.9292	bird	Inan	-0.0074	0.1898	696	609	6 m^2	Eriq	220	rabbit	794	0.9138	volleyball, tennis
4	475 kg	0.3216	ferret	eriq	0.9131	0.6557	645	1119	941 m^2	Reilly	128	ferret	592	0.7564	track & field, football
0	402 kg	0.4633	hamster	Reilly, Andrew	0.0088	0.4269	256	283	1123 m^2	sam	888	cat	484	-0.3464	baseball
4	671 kg	0.3932	rat	Tony	0.7105	0.383	627	794	655 m^2	Andrew	113	ferret	635	0.9293	ice hockey, football
0	406 kg	0.3962		Vani	0.4766	0.6907	375	72	1127 m^2	Eriq	1056	rabbit	337	-0.0118	badminton
3	967 kg	1.0424	Bird	Inan	0.1108	0.4263	558	667	531 m^2	Reilly	-2	rabbit	474	0.5884	golf, tennis
0	540 kg	0.1366	hamster	Reilly	0.2912	0.1707	312	145	999 m^2	Inan	641	bird, hamster, guinea pig	517	0.0347	badminton
4	770 kg	0.3494	ferret	Tony	0.9154	0.8269	306	922	626 m^2	Michael	355	ferret	670	0.7931	track & field, ice hockey
1	-37 kg	0.867	guinea pig	Chris	0.6981	0.2599	-225	272	156 m^2	Sam	180	rat	1010	0.5962	soccer
2	505 kg	0.3013	chicken	Sam, Fabrice	0.7032	0.9854	690	275	733 m^2	Tony	847	fish, reptile, chicken	36	-0.0134	running
0	-177 kg	0.618	cat	Vani	0.0245	0.4335	339	93	1133 m^2	Inan	459	hamster, bird, cat, guinea pig	422	0.4546	boxing, baseball
3	772 kg	0.8446	rabbit	inan	0.3082	0.3006	476	845	-55 m^2	Eriq	-4	ferret	440	0.5013	golf
2	432 kg	-0.2535	chicken	Fabrice, Lise	0.3988	0.9306	808	324	926 m^2	Chris	1108	chicken	191	0.2088	running
4	756 kg	0.4144	rat	Eriq	0.7377	0.5252	613	769	264 m^2	Vani	27	ferret	648	0.7902	ice hockey, football
3	740 kg	0.8225	rabbit	Michael	-0.1613	0.3554	529	723	475 m^2	Eriq	42	rabbit	736	0.6956	volleyball, tennis
1	39 kg	0.7698	guinea pig	Chris	1.0681	0.0593	124	610	-109 m^2	Sam	705	rat	947	0.1519	soccer
0	173 kg	0.2753	cat	Vani, Andrew	0.4096	0.0094	-118	280	1163 m^2	Inan	624	guinea pig	464	0.1504	badminton
4	717 kg	0.1546	rat	tony	0.8323	0.7596	532	816	658 m^2	Andrew	131	ferret	564	0.957	football
1	279 kg	0.734	fish	Chris	0.5425	-0.1253	-156	261	-69 m^2	Michael	455	rat	872	0.4896	soccer
3	1108 kg	0.7811	bird	Inan	0.405	0.0943	841	844	201 m^2	Eriq	-26	ferret	601	0.8725	tennis, volleyball
2	461 kg	0.3129	fish	Sam, Lise	0.7808	0.6506	1237	135	729 m^2	Inan	868	ferret	73	0.197	football, ice hockey
2	286 kg	-0.2286	fish	Fabrice	0.5403	0.7609	927	35	713 m^2	chris	678	reptile	161	0.4712	basketball
4	534 kg	0.2134	dog	Tony	0.7625	0.6199	299	959	380 m^2	Reilly	291	ferret	470	0.8914	track & field
4	825 kg	None	dog	Eriq	0.9141	0.8403	288	1285	717 m^2	NULL	260	ferret	636	0.5992	ice hockey, football
1	179 kg	0.5886	pig	Reilly, Vani	0.987	-0.2194	124	689	195 m^2	Michael	154	rat	1055	0.5734	motor sports
4	671 kg	0.435	rat	Tony	0.3556	0.6723	326	995	563 m^2	Inan	165	ferret	392	0.7973	football, ice hockey
4	875 kg	-0.0235	rat	Eriq	0.819	0.8866	498	1014	646 m^2	Inan	95	ferret	597	1.1844	ice hockey, track & field
2	615 kg	0.2119	chicken	Sam	0.9043	0.8858	798	354	729 m^2	Tony	1080	chicken, reptile	-158	0.1617	basketball
1	128 kg	0.86	pig	chris	0.5972	-0.1551	164	345	-194 m^2	Sam	397	rat	947	0.4914	soccer
2	403 kg	0.0507	chicken	Sam	0.7077	0.9682	705	108	514 m^2	Fabrice	920	dog, reptile, fish	-123	0.3163	running
3	803 kg	0.8887	chicken	Michael	0.0279	0.2294	831	962	126 m^2	Eriq	437	rabbit	706	0.6497	tennis, volleyball
1	524 kg	0.8096	hamster	Chris	0.4811	-0.0085	-21	497	22 m^2	Michael	687	rat	864	0.6503	soccer
3	620 kg	0.9221	bird	Inan	0.1777	0.0081	883	881	314 m^2	Eriq	-11	rabbit	N/A	0.6322	Tennis, Golf
0	227 kg	0.8051	reptile	Andrew	0.0616	0.9643	606	165	1168 m^2	Inan	1006	cat, hamster	397	0.5688	badminton
4	764 kg	0.4432	rat	TONY	0.6383	0.6442	494	683	678 m^2	Andrew	561	ferret	761	0.9159	ice hockey
0	205 kg	0.4633	Reptile	Vani, Andrew	-0.114	0.2852	437	189	1132 m^2	Inan	687	bird, pig, hamster	343	-0.2125	badminton
2	1051 kg	-0.2052	fish	Sam, Lise	0.7942	0.8113	784	573	789 m^2	Fabrice	905	fish, chicken	-102	0.3586	basketball
1	363 kg	0.7044	ferret	Chris	0.7676	0.0654	-74	330	221 m^2	Sam	683	rat	987	0.5984	motor sports
1	192 kg	0.5063	HAMSTER	Chris	0.8366	0.1173	-168	323	61 m^2	Michael	578	pig, cat, hamster, guinea pig	730	0.3736	soccer
2	610 kg	-0.1446	chicken	Lise, Fabrice	0.75	1.6286	707	97	525 m^2	Lise	1103	chicken	85	0.4721	basketball
0	283 kg	0.4349	hamster	Chris	0.2387	0.4147	373	315	1037 m^2	Inan	1075	hamster, pig, cat, bird	323	0.0153	baseball, boxing
3	932 kg	0.78	bird	Michael	-0.2602	0.2611	665	774	388 m^2	Eriq	116	rabbit	672	0.8465	volleyball
1	n/a	0.9445	guinea pig	Chris	0.7201	-0.0729	60	384	426 m^2	Sam	43	rat	724	0.4055	soccer
0	176 kg	N/A	hamster	Andrew	0.269	0.3174	15	269	1134 m^2	Inan	747	bird, cat, hamster, guinea pig	443	0.4043	boxing, badminton
0	230 kg	0.0455	hamster	ANDREW, REILLY	0.5198	0.5248	428	-45	754 m^2	Inan	981	hamster, cat, bird	643	-0.3982	badminton, boxing
3	1040 kg	0.8431	bird	Michael	0.2269	0.3292	515	583	257 m^2	Eriq	294	NULL	573	0.7584	golf
0	126 kg	0.1629	hamster	Andrew	0.4017	0.8656	271	-259	1097 m^2	Inan	1004	Hamster, Bird	674	0.0439	BOXING, BASEBALL
0	295 kg	0.3278	reptile	Andrew, Vani	0.2313	0.6351	538	179	977 m^2	Eriq	701	pig	320	-0.0247	boxing
2	646 kg	0.1095	chicken	Sam, Fabrice	0.6369	1.1607	815	178	496 m^2	Fabrice	1025	RAT	-84	0.221	running
3	1007 kg	0.8176	rabbit	Michael	-0.0625	0.0543	699	1101	281 m^2	Sam	-159	rabbit	577	0.6499	volleyball
3	789 kg	0.8594	bird	Inan	-0.1148	0.1014	591	702	308 m^2	Eriq	-52	rabbit	676	0.6224	volleyball, tennis
1	-63 kg	0.8511	PIG	Chris	1.0662	0.028	136	540	469 m^2	Sam	665	rat	741	0.8745	motor sports
0	172 kg	0.5708	hamster	Vani, Reilly	0.3545	0.3017	431	210	930 m^2	Inan	737	pig, guinea pig	135	-0.0966	badminton, boxing
2	500 kg	-0.0076	chicken	Sam, Fabrice	0.5683	0.7111	None	93	719 m^2	Chris	772	reptile, dog	14	0.2413	basketball
2	509 kg	0.0534	fish	Lise	0.5125	1.0472	829	204	656 m^2	Tony	952	reptile	-108	0.1464	basketball
1	518 kg	0.8905	guinea pig	Chris	0.9408	0.1085	119	726	128 m^2	Sam	483	pig	751	0.5632	soccer
2	346 kg	-0.2827	fish	Sam	0.3891	0.9237	841	504	762 m^2	Fabrice	1052	fish	-153		running
0	43 kg	0.6069	cat	Reilly, Andrew	0.2358	0.8334	125	545	1485 m^2	Inan	684	pig, bird, hamster	433	0.0041	boxing, baseball
2	390 kg	-0.0955	chicken	Lise, Fabrice	0.5972	1.1492	950	627	1005 m^2	Chris	792	dog, reptile	-53	0.1748	basketball
1	182 kg	0.8692	pig	Chris	0.7505	0.2195	-24	179	-80 m^2	Michael	316	rat	765	0.6353	soccer
0	352 kg	0.2807	cat	Reilly, Andrew	-0.0738	0.2937	344	256	1172 m^2	Inan	552	pig, hamster	443	0.1492	boxing
2	269 kg		fish	Lise	0.588	1.243	724	-4	807 m^2	Fabrice	855	dog, reptile, chicken	None	0.313	basketball
1	20 kg	0.7838	guinea pig	Chris	0.8861	-0.2502	114	233	354 m^2	Sam	375	reptile, fish	876	NULL	soccer
0	406 kg	0.4051	hamster	Andrew	0.4263	0.4618	248	65	1349 m^2	Inan	662	hamster, guinea pig, pig	477	-0.029	boxing, baseball
4	590 kg	0.1938	ferret	Tony	0.455	0.472	366	820	864 m^2	andrew	417	ferret	307	1.0029	football
0	206 kg	0.4846	reptile	Vani, Andrew	0.6207	0.8761	401	184	789 m^2	Inan	740	pig, cat, hamster, guinea pig	534	-0.0514	badminton, boxing
4	383 kg	0.552	rat	Tony	0.6125	0.9117	167	1077	568 m^2	Vani	26	pig, hamster, cat	465	1.1515	ice hockey, track & field
2	480 kg	0.0377	chicken	Fabrice	0.7837	0.9819	1166	415	483 m^2	Lise	951	cat, hamster	129	0.2337	basketball
1	25 kg	N/A	pig	Chris	0.8657	-0.0508	308	?	416 m^2	Inan	614	Rat	1029	0.4344	soccer
